"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Publikasi nya boleh d scholar, Sinta?","https://www.instagram.com/p/DI0yfuKTXz5/","17965562528908846","1","17841405794705156","POPULIX","true","5961249156","true","false","true","0","1592721762370400400","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","0","@lt_khfi bisa yaa kak. silakan daftar😊","2025-05-05T02:52:02.000Z"
"Ini untuk mahasiswa S1-S3 dan dosen saja ya? Kirain terbuka untuk umum juga","https://www.instagram.com/p/DI0yfuKTXz5/",,,,,,,,,,,,,,,,,,
"Kombinasi lulusan S1 dan dosen tidak bisa ya min?","https://www.instagram.com/p/DI0yfuKTXz5/","17923625298069770","0","17841405794705156","POPULIX","true","5961249156","true","false","true","0","1592721762370400400","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","0","@mayomay29 hi kak, bisa kak. masuk ke kategori peserta pada poin B ya😊","2025-05-05T02:50:15.000Z"
"Izin kak tadi saya berhasil registrasi. Untuk link data tabulasinya halamannya tidak ditemukan","https://www.instagram.com/p/DI0yfuKTXz5/",,,,,,,,,,,,,,,,,,
"Min yang publikasi bisa pilih salah satu aja kah? Dan juga saya sudah daftar min tapi belom dapat datanya bagaimana ya?","https://www.instagram.com/p/DI0yfuKTXz5/","18063541187108437","1","17841405794705156","POPULIX","true","5961249156","true","false","true","0","1592721762370400400","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwEa5ZC1&_nc_oc=AdkTesxoAIHjsmPY1OY8kcumJYPgSiidVWHBqKBNJuF0p7w9_0TsX-KPVvizC4y-JZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfpUPsPUH8AbACwZW4DJNdNXU-KtI9Kz-i5QWIkG3ty0lQ&oe=6980BA4D","populix.co","0","@charleneee._ hai kak, betul ya kak untuk publikasinya bisa pilih salah satu platform. Untuk report atau datanya dikirim ke email ya kak, bisa dicek emailnya😊🙏","2025-05-15T07:40:13.000Z"
"Juara 1 2 3 dapat berapa","https://www.instagram.com/p/DI0yfuKTXz5/",,,,,,,,,,,,,,,,,,
"Min, mau nanya. Kalau memakai studi kasus atau berita boleh memakai berita tahun 2025?","https://www.instagram.com/p/DJtf20JziQA/",,,,,,,,,,,,,,,,,,
"👏","https://www.instagram.com/p/DDHM2-gTAGd/",,,,,,,,,,,,,,,,,,
"Aku belum nonton","https://www.instagram.com/p/DIg8fc9yl-j/",,,,,,,,,,,,,,,,,,
"UDAH NONTONN😍","https://www.instagram.com/p/DIg8fc9yl-j/",,,,,,,,,,,,,,,,,,
