"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"👏👏","https://www.instagram.com/p/DPLz6eMAWkw/","18070254875517150","0","17841457314328797","BeData Technology Indonesia","false","57270382477","true","false","false","1769595712","3083453924167457880","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwEVl9gI&_nc_oc=AdklIBSCnkwzJX6EcDjVsfCWr_3zTDt6joPfduKya1fJkZKLDACs-HhV5s2rcDFn3sk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_Afq75TYK7GUd1H2NUESDSOHd0q_-TasbZ8BMmzjtr30ufQ&oe=6980D195","bedata.id","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwEVl9gI&_nc_oc=AdklIBSCnkwzJX6EcDjVsfCWr_3zTDt6joPfduKya1fJkZKLDACs-HhV5s2rcDFn3sk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_Afq75TYK7GUd1H2NUESDSOHd0q_-TasbZ8BMmzjtr30ufQ&oe=6980D195","bedata.id","0","@daffafaadihilah 🔥👏","2025-09-29T13:09:34.000Z"
"🔥🔥🔥#","https://www.instagram.com/p/DPLz6eMAWkw/",,,,,,,,,,,,,,,,,,
"keren kak ren😍👏🏻","https://www.instagram.com/p/DPLz6eMAWkw/","18102622420720851","0","17841457314328797","BeData Technology Indonesia","false","57270382477","true","false","false","1769595712","3083453924167457880","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwEVl9gI&_nc_oc=AdklIBSCnkwzJX6EcDjVsfCWr_3zTDt6joPfduKya1fJkZKLDACs-HhV5s2rcDFn3sk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_Afq75TYK7GUd1H2NUESDSOHd0q_-TasbZ8BMmzjtr30ufQ&oe=6980D195","bedata.id","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwEVl9gI&_nc_oc=AdklIBSCnkwzJX6EcDjVsfCWr_3zTDt6joPfduKya1fJkZKLDACs-HhV5s2rcDFn3sk&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_Afq75TYK7GUd1H2NUESDSOHd0q_-TasbZ8BMmzjtr30ufQ&oe=6980D195","bedata.id","0","@rivaalmiraadz 😍😍","2025-09-29T13:09:25.000Z"
"","https://www.instagram.com/p/C7jT2sjvz3g/",,,,,,,,,,,,,,,,,,
"ihiw icikiwir","https://www.instagram.com/p/C7jT2sjvz3g/",,,,,,,,,,,,,,,,,,
"Sungkem sama suhuku @hartanto.s1 🙌","https://www.instagram.com/p/DM6704mhgRb/","17959786100968597","0","17841457314328797","BeData Technology Indonesia","false","57270382477","true","false","false","1769595712","3083453924167457880","https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwGepEVb&_nc_oc=AdnQIpGn_vEJpcKrnQZeJurHjpMggMhVfo67SWa4O2Awt2CW2EokFCFBRIgPf6qj3No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-mia5-1.cdninstagram.com&oh=00_Afo82usy72yYRP2TyK73YHFw6vPHhcYcFk7plzawNgIffQ&oe=6980D195","bedata.id","https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/341533954_562034446018561_4145375926810957753_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=101&ig_cache_key=GAJlWxQBqIHXKv8BALnXBTpxVYc5bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43NjMuQzMifQ%3D%3D&_nc_ohc=v_PFUab_yhAQ7kNvwGepEVb&_nc_oc=AdnQIpGn_vEJpcKrnQZeJurHjpMggMhVfo67SWa4O2Awt2CW2EokFCFBRIgPf6qj3No&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-mia5-1.cdninstagram.com&oh=00_Afo82usy72yYRP2TyK73YHFw6vPHhcYcFk7plzawNgIffQ&oe=6980D195","bedata.id","0","@aulia_afifah gas join Webinarnya kak 🔥","2025-08-04T08:52:43.000Z"
"🔥😲🤯","https://www.instagram.com/p/DNewAQ0BhJ8/",,,,,,,,,,,,,,,,,,
"Siripsweetku alhamdulillah sudah terlalui. Meski banyak drama yang bikin mager terjadi, akhirnya berhasil lulus tepat waktu 🥹
.
Percaya nggak sih guys, akutu habis sempro baru nyadar kalau topik yang tak ambil bahasannya berat, butuh data banyak, dan penelitian dalam negeri yang serupa sebelumnya tu hampir bisa dikatakan tidak genap dihitung dengan jari kanan.
.
Setelah revisi & acc clear bab 1-3, aku mager. Nggak nyentuh skripsi hampir 3 bulan. Tiap hari di kos kerjaannya cuma masak, makan, tidur. Bener-bener menolak dan menarik diri ketika ada perbincangan soal skripsi.
.
Hingga akhirnya, temen deketku dari berbagai jurusan wisuda duluan. Rasanya tertampar. Aku bilang ke diriku sendiri, “Iya Suci, ini susah. Tapi apa artinya kamu menyerah? Jangan lihat ke bawah, lihat temen-temenmu yang sudah lulus. Bukannya kamu terlalu nyaman hanya karena kamu takut dan teman-teman sejurusan belum ada yang lulus? Jangan jadi pengecut atas pilihanmu sendiri!”
.
Teng, aku sadar. Lalu aku mencoba memaksa diriku. Melawan rasa malas dan takutku. Kucoba kumpulkan data-data yang riweh itu satu persatu. Kukerjakan selama 20 jam tiap harinya. Keluar kamar kos hanya untuk mengambil pesanan makanan. 
.
Begitulah aku selama 2 minggu. Walhasil data selesai dikumpulkan dan kuolah mandiri karena keterbatasan dana. Tepat satu bulan dari hibernasi panjang, aku mendaftar seminar hasil dan seminggu kemudian mendaftar wisuda. 
.
Terkesan kelihatan mulus-mulus saja setelahnya, meski tidak senyata itu. Yang jelas, aku menyesal karena tidak sadar lebih dulu. MasyaAllah tabarakallahnya teman dekat sejurusanku ketrigger untuk segera lulus setelahnya 🤗
.
Yuk cerita juga @ayusukma_22 @riyankpa @virazen2022 😊
Terima kasih telah mengadakan GA ini @bedata.id semoga makin sukses & membantu banyak mahasiswa dalam olah data tentunya 🫶🏻","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Kalau ngerjain skripsi sih g ada hambatan sama sekali, karena dari awal magang kerja juga kan sambil ngerjain skripsi gitu.. Paling kalau kesusahan adalah disuruh bikin desain website sama pihak kampus untuk menilai lulus atau g skripsi gue (karena gue lulusan Sistem Informasi)
Suryakencana Bogor Tengah 
Tik Tok : maria.crescentia24
Rencana kalau gue yang dapat THR : Lumayan THR bisa buat gue bayar listrik, air ledeng, BPJS mama gue, sisa sih bisa buat gue tabung untuk uang jajan gue, mau gue tabung buat modal usahap yang sempat tertunda sih hehe.. DONE!! Wish me luck!! Yuk bisa ikutan Bund ikutan seru yuk @haihehe2498 @berliana_._anty24 @mathildaberthy83  @mariacrescentiaberlianaanty24 @maria_crescentia @susumurni.hyung @matchalatte.98 @berli.2498 @berlianaanty24","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Skripsi yang bikin nyesek sih ini, karena aku kuliah online dulu dari semester awal sampe akhir. Semua ngurus sendiri mulai dari ijin penelitian sampai pembayaran. Apalagi pas bimbingan kalau online tu sulitnyaa minta ampun. Aku kuliah dua kali pernah di swasta dan yg terakhir di negeri. Terasa sekali perbedaannya, waktu swasta semua dibantu sama universitas, kalau di negeri harus mandiri. Semua harus valid dari mulai jenis penelitian kuantitatif apa kualitatif, instrumennya apa, harus pakai uji validitas. Penelitian pas jaman covid juga ngaruh banget bedanya 😢 Ngga ada temen curhat karena semua temen kuliah di beda kota, ngga bisa sharing langsung satu sama lain. Skuy join @nisaara2020 @erdinaap @larasati3074","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
